BS_m1_0h	BS_m2_0h	BS_m3_0h	BS_m4_6h_flag	BS_m5_6h_flag	BS_m6_6h_flag	BS_m7_6h_aCD3	BS_m8_6h_aCD3	BS_m9_6h_aCD3	BS_m10_24h_flag	BS_m11_24h_flag	BS_m12_24h_flag	BS_m13_24h_aCD3	BS_m14_24h_aCD3	BS_m15_24h_aCD3
ID=fig|671267.8.repeat.11;Name=repeat region	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.187;Name=Putative glycosyltransferase	0	0	0	2	5	0	0	0	0	2	0	0	0	0	0
ID=fig|671267.8.repeat.12;Name=repeat region	91	13	9	28	10	5	18	4	24	39	38	28	14	26	4
ID=fig|671267.8.peg.188;Name=Abi-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.189;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.190;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.191;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.192;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.193;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.repeat.13;Name=repeat region	99	295	155	117	158	123	104	38	79	268	267	194	176	110	63
ID=fig|671267.8.peg.194;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.195;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.196;Name=Class A beta-lactamase (EC 3.5.2.6) > CfxA family%2C broad-spectrum;Ontology_term=KEGG_ENZYME:3.5.2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.197;Name=Mobilization protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.198;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.199;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.200;Name=excisionase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.201;Name=putative protein involved in transposition	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.202;Name=Integrase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.203;Name=Putative transposase	2	1	0	0	4	0	0	0	0	2	0	0	0	0	0
ID=fig|671267.8.repeat.14;Name=repeat region	4	0	4	4	0	6	3	4	2	10	2	2	2	0	2
ID=fig|671267.8.repeat.15;Name=repeat region	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.204;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.205;Name=Lipopolysaccharide biosynthesis protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.206;Name=putative glucosyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.207;Name=hypothetical protein	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0
ID=fig|671267.8.peg.208;Name=Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3);Ontology_term=KEGG_ENZYME:6.2.1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.209;Name=Glycosyl transferase family protein	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.210;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ID=fig|671267.8.peg.211;Name=Glycosyltransferase	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0
ID=fig|671267.8.peg.212;Name=Putative glycosyltransferase	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.213;Name=hypothetical protein	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.214;Name=NADH-dependent reduced ferredoxin:NADP+ oxidoreductase subunit A / NADH-dependent reduced ferredoxin:NADP+ oxidoreductase subunit B	98	178	116	60	134	76	108	14	24	280	386	194	128	70	42
ID=fig|671267.8.peg.215;Name=N-acetyl glucosamine transporter%2C NagP	50	103	94	58	80	54	42	6	10	124	185	106	51	70	72
ID=fig|671267.8.peg.216;Name=Seryl-tRNA synthetase (EC 6.1.1.11);Ontology_term=KEGG_ENZYME:6.1.1.11	30	80	60	92	233	78	124	34	40	154	252	130	98	54	40
ID=fig|671267.8.peg.217;Name=LSU ribosomal protein L27p	187	95	82	96	253	50	164	18	15	141	329	105	110	71	38
ID=fig|671267.8.peg.218;Name=LSU ribosomal protein L21p	242	82	60	90	187	46	181	6	18	125	373	72	102	64	36
ID=fig|671267.8.peg.219;Name=hypothetical protein	12	2	4	0	6	2	0	0	0	7	7	10	8	2	0
ID=fig|671267.8.peg.220;Name=Haloacid dehalogenase-like hydrolase	0	1	2	0	0	0	0	0	0	0	2	2	0	0	0
ID=fig|671267.8.peg.221;Name=Haloacid dehalogenase-like hydrolase	2	9	10	6	2	8	3	0	2	12	22	10	0	4	4
ID=fig|671267.8.peg.222;Name=Lipoprotein spr precursor	24	23	14	6	8	10	3	6	8	37	47	26	13	9	4
ID=fig|671267.8.peg.223;Name=ATP-binding protein	17	33	21	18	24	34	26	2	8	62	113	63	18	19	15
ID=fig|671267.8.peg.224;Name=hypothetical protein	31	69	54	56	71	57	42	20	8	129	196	116	35	47	24
ID=fig|671267.8.peg.225;Name=Probable zinc protease pqqL (EC 3.4.99.-);Ontology_term=KEGG_ENZYME:3.4.99.-	88	325	294	271	430	393	364	92	124	592	1122	648	208	205	227
ID=fig|671267.8.peg.226;Name=Thioredoxin reductase (EC 1.8.1.9);Ontology_term=KEGG_ENZYME:1.8.1.9	42	136	113	98	148	156	178	54	34	224	300	158	111	60	70
ID=fig|671267.8.peg.227;Name=Outer membrane lipoprotein carrier protein LolA	19	23	21	43	33	44	36	24	18	30	37	37	39	19	29
ID=fig|671267.8.peg.228;Name=DNA translocase FtsK	39	77	85	51	123	56	76	28	18	162	216	146	90	29	33
ID=fig|671267.8.peg.229;Name=hypothetical protein	8	16	30	25	32	25	34	2	8	69	69	58	32	19	19
ID=fig|671267.8.peg.230;Name=3'-5' exonuclease domain protein	9	34	28	14	48	19	20	6	10	45	58	50	26	19	8
ID=fig|671267.8.peg.231;Name=23S rRNA (cytosine(1962)-C(5))-methyltransferase (EC 2.1.1.191);Ontology_term=KEGG_ENZYME:2.1.1.191	109	94	76	68	106	77	96	24	20	149	181	144	86	68	38
ID=fig|671267.8.peg.232;Name=hypothetical protein	2	0	1	0	0	0	0	0	0	1	6	2	1	0	0
ID=fig|671267.8.peg.233;Name=hypothetical protein	42	81	94	47	102	42	76	12	20	145	192	118	47	60	30
ID=fig|671267.8.peg.234;Name=hypothetical protein	28	67	59	29	60	24	20	6	20	110	131	130	25	50	26
ID=fig|671267.8.peg.235;Name=Aldose 1-epimerase	8	2	16	6	8	4	8	0	4	16	18	12	4	6	0
ID=fig|671267.8.peg.236;Name=RNA polymerase ECF-type sigma factor	48	64	89	95	168	65	22	37	44	33	153	67	12	40	16
ID=fig|671267.8.peg.237;Name=hypothetical protein	18	25	27	35	54	23	20	13	37	17	103	59	10	18	1
ID=fig|671267.8.peg.238;Name=hypothetical protein	138	104	85	82	126	30	42	10	47	80	178	82	20	52	17
ID=fig|671267.8.peg.239;Name=Alanine dehydrogenase (EC 1.4.1.1);Ontology_term=KEGG_ENZYME:1.4.1.1	694	1155	1162	567	779	798	461	202	386	737	1014	954	416	1029	461
ID=fig|671267.8.peg.240;Name=hypothetical protein	44	36	30	24	75	14	24	10	23	28	56	18	14	18	12
ID=fig|671267.8.peg.241;Name=Putative dipeptidase	44	46	41	51	102	50	44	6	14	82	92	56	52	34	18
ID=fig|671267.8.peg.242;Name=Phosphoglucomutase (EC 5.4.2.2);Ontology_term=KEGG_ENZYME:5.4.2.2	266	888	601	329	457	372	350	96	210	1274	1518	1319	464	452	340
ID=fig|671267.8.peg.243;Name=Putative permease	10	18	16	16	26	4	4	10	6	34	58	16	10	10	6
ID=fig|671267.8.peg.244;Name=aldose epimerase family protein	20	66	32	28	52	20	34	14	20	96	88	96	28	32	18
ID=fig|671267.8.peg.245;Name=Sensor histidine kinase	14	14	8	6	10	2	10	0	6	42	54	50	14	14	12
ID=fig|671267.8.peg.246;Name=Two-component transcriptional response regulator%2C LuxR family	2	0	2	6	4	2	2	0	0	18	16	14	4	4	0
ID=fig|671267.8.peg.247;Name=Arylsulfatase (EC 3.1.6.1);Ontology_term=KEGG_ENZYME:3.1.6.1	4	14	20	10	16	10	10	0	6	42	36	18	10	8	4
ID=fig|671267.8.peg.248;Name=Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-);Ontology_term=KEGG_ENZYME:1.2.7.-	271	1316	957	692	1238	794	858	300	372	2212	2420	1317	1210	514	500
ID=fig|671267.8.peg.249;Name=ATPase	60	40	18	30	66	14	34	16	12	70	68	50	56	22	12
ID=fig|671267.8.peg.250;Name=hypothetical protein	10	2	6	8	9	10	8	6	4	14	8	12	2	9	1
ID=fig|671267.8.peg.251;Name=Efflux transport system%2C outer membrane factor (OMF) lipoprotein	4	40	22	99	79	24	123	30	26	95	80	72	14	33	6
ID=fig|671267.8.peg.252;Name=RND efflux system%2C inner membrane transporter	54	214	176	326	385	178	525	252	184	428	346	349	66	288	33
ID=fig|671267.8.peg.253;Name=RND efflux system%2C membrane fusion protein	18	70	84	196	193	88	249	138	96	198	145	149	41	122	12
ID=fig|671267.8.peg.254;Name=Domain of unknown function / Pseudouridine synthase	0	6	2	2	18	2	4	0	2	12	15	4	2	2	2
ID=fig|671267.8.peg.255;Name=hypothetical protein	8	0	2	4	20	4	8	0	6	20	19	8	6	6	6
ID=fig|671267.8.peg.256;Name=hypothetical protein	0	0	0	0	0	0	2	0	4	0	0	2	0	0	2
ID=fig|671267.8.peg.257;Name=hypothetical protein	3	2	0	0	2	0	0	0	2	2	4	8	2	0	2
ID=fig|671267.8.peg.258;Name=MaoC family protein	48	32	38	10	24	10	6	4	2	40	40	26	16	18	6
ID=fig|671267.8.peg.259;Name=Acetyltransferase	12	14	14	10	19	6	16	0	0	47	46	16	24	2	6
ID=fig|671267.8.peg.260;Name=Oxidoreductase	2	17	8	14	24	10	16	2	6	34	45	18	24	4	4
ID=fig|671267.8.peg.261;Name=hypothetical protein	10	9	0	6	10	0	0	0	0	8	11	2	6	2	0
ID=fig|671267.8.peg.262;Name=Integrase	6	8	0	4	2	4	0	2	2	6	4	6	0	11	0
ID=fig|671267.8.peg.263;Name=hypothetical protein	2	2	4	0	0	0	2	0	0	0	2	2	0	3	0
ID=fig|671267.8.peg.264;Name=FIG00897594: hypothetical protein	1	0	5	0	7	2	4	0	0	8	0	0	0	3	2
ID=fig|671267.8.peg.265;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.266;Name=DNA primase (EC 2.7.7.-);Ontology_term=KEGG_ENZYME:2.7.7.-	0	2	0	2	0	4	0	0	0	0	0	0	0	2	0
ID=fig|671267.8.peg.267;Name=hypothetical protein	0	1	0	0	2	0	0	0	0	0	2	2	0	0	0
ID=fig|671267.8.peg.268;Name=Mobilization protein BmgB	0	1	2	0	0	0	0	0	0	0	4	0	0	0	0
ID=fig|671267.8.peg.269;Name=Mobilization protein BmgA	0	5	4	0	0	0	0	0	0	2	2	2	0	0	0
ID=fig|671267.8.peg.270;Name=hypothetical protein	10	0	2	0	0	0	2	0	0	4	4	0	6	2	0
ID=fig|671267.8.peg.271;Name=cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	2	0	0	0	0	0	0	0	0	8	4	0	0	0	0
ID=fig|671267.8.peg.272;Name=hypothetical protein	2	1	0	0	2	0	0	0	0	2	0	2	0	0	0
ID=fig|671267.8.peg.273;Name=hypothetical protein	0	3	0	0	2	0	0	0	0	0	0	0	2	0	0
ID=fig|671267.8.peg.274;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.275;Name=Acetyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.276;Name=hypothetical protein	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ID=fig|671267.8.peg.277;Name=hypothetical protein	2	0	0	0	0	0	0	0	1	0	2	0	2	0	0
ID=fig|671267.8.peg.278;Name=hypothetical protein	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0
ID=fig|671267.8.peg.279;Name=CTnDOT two-component system sensor histidine kinase RteA	0	0	0	2	2	0	4	0	0	2	3	0	0	0	0
ID=fig|671267.8.peg.280;Name=CTnDOT two-component system response regulator and RteC activator%2C RteB	2	0	10	10	24	2	30	2	5	0	4	2	2	4	2
ID=fig|671267.8.peg.281;Name=hypothetical protein	0	0	2	3	7	2	0	0	3	1	4	0	0	4	0
ID=fig|671267.8.peg.282;Name=hypothetical protein	0	0	0	7	11	0	16	0	8	1	3	0	0	0	2
ID=fig|671267.8.peg.283;Name=hypothetical protein	244	110	60	95	87	56	178	47	120	35	84	31	104	69	44
ID=fig|671267.8.peg.284;Name=Small heat shock protein	208	195	94	422	382	221	1015	92	489	126	245	93	138	122	80
ID=fig|671267.8.peg.285;Name=Threonine dehydrogenase and related Zn-dependent dehydrogenases	20	26	8	4	24	14	4	10	0	12	43	26	10	4	4
ID=fig|671267.8.peg.286;Name=putative rRNA methylase	4	12	22	6	12	4	16	2	6	19	19	16	6	12	4
ID=fig|671267.8.peg.287;Name=hypothetical protein	4	8	0	0	0	2	0	2	0	2	0	4	6	0	0
ID=fig|671267.8.peg.288;Name=hypothetical protein	84	46	20	42	42	10	30	2	26	24	32	24	14	34	24
ID=fig|671267.8.peg.289;Name=Heterodimeric efflux ABC transporter%2C permease/ATP-binding subunit 1	14	4	12	4	15	0	2	2	8	26	18	26	2	28	0
ID=fig|671267.8.peg.290;Name=Heterodimeric efflux ABC transporter%2C permease/ATP-binding subunit 2	6	0	14	2	3	4	2	4	0	16	9	20	2	16	0
ID=fig|671267.8.peg.291;Name=hypothetical protein	6	0	12	2	34	4	4	2	2	48	47	68	2	48	0
ID=fig|671267.8.peg.292;Name=TonB-dependent receptor	20	4	38	14	44	2	4	6	14	16	18	77	0	44	0
ID=fig|671267.8.peg.293;Name=Cobalt-zinc-cadmium resistance protein CzcD	2	4	22	4	26	12	10	0	12	22	27	49	2	32	0
ID=fig|671267.8.peg.294;Name=hypothetical protein	2	2	6	4	5	2	4	0	6	8	13	18	0	16	0
ID=fig|671267.8.peg.295;Name=hypothetical protein	3	3	12	8	12	9	8	8	13	6	9	22	0	12	0
ID=fig|671267.8.peg.296;Name=Uncharacterized membrane-anchored protein%2C YitT family	4	6	6	10	20	10	34	6	4	18	60	28	12	4	10
ID=fig|671267.8.peg.297;Name=Aspartate ammonia-lyase (EC 4.3.1.1);Ontology_term=KEGG_ENZYME:4.3.1.1	16	68	66	92	197	134	160	70	48	46	98	64	56	88	22
ID=fig|671267.8.peg.298;Name=FIG00406774: hypothetical protein	6	8	3	8	5	0	2	0	0	15	6	10	6	8	2
ID=fig|671267.8.peg.299;Name=hypothetical protein	4	52	40	24	21	18	19	2	0	69	57	60	22	26	16
ID=fig|671267.8.peg.300;Name=Dipeptidyl peptidase IV	52	191	181	50	122	90	76	8	10	310	239	294	128	108	85
ID=fig|671267.8.peg.301;Name=Aminopeptidase C (EC 3.4.22.40);Ontology_term=KEGG_ENZYME:3.4.22.40	102	344	296	101	138	109	66	12	16	619	590	608	311	171	123
ID=fig|671267.8.peg.302;Name=Dipeptidase-related protein	77	340	321	109	236	137	104	26	26	513	493	461	205	207	112
ID=fig|671267.8.peg.303;Name=cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	25	31	18	25	32	14	21	3	23	43	74	29	39	28	22
ID=fig|671267.8.peg.304;Name=Ubiquitin-protein ligase	15	33	30	21	74	18	37	13	17	55	62	49	21	20	10
ID=fig|671267.8.peg.305;Name=hypothetical protein	22	72	74	32	73	32	54	24	12	94	72	44	30	48	20
ID=fig|671267.8.peg.306;Name=Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3);Ontology_term=KEGG_ENZYME:6.2.1.3	199	391	207	181	310	162	284	58	51	531	430	241	237	124	130
ID=fig|671267.8.peg.307;Name=Putative dihydropyrimidine dehydrogenase [NADP+]%2C similar to dihydroorotate dehydrogenase	855	1250	1167	557	749	750	752	377	431	818	1115	721	521	634	449
ID=fig|671267.8.peg.308;Name=UPF0001 protein YggS	207	277	217	115	192	178	233	110	96	202	230	177	150	248	97
ID=fig|671267.8.peg.309;Name=hypothetical protein	26	81	78	82	159	82	107	34	26	119	147	71	47	52	22
ID=fig|671267.8.peg.310;Name=hypothetical protein	283	356	428	421	619	528	729	345	355	327	378	225	183	428	184
ID=fig|671267.8.peg.311;Name=Alanine transaminase (EC 2.6.1.2);Ontology_term=KEGG_ENZYME:2.6.1.2	78	140	128	98	198	72	172	32	24	191	150	122	103	106	66
ID=fig|671267.8.peg.312;Name=ABC transporter%2C permease protein	66	84	72	44	134	48	58	5	10	83	112	73	55	56	20
ID=fig|671267.8.peg.313;Name=hypothetical protein	8	6	12	0	5	1	8	2	0	14	8	6	6	4	2
ID=fig|671267.8.peg.314;Name=hypothetical protein	4	7	5	7	15	6	8	0	7	8	18	13	4	8	5
ID=fig|671267.8.peg.315;Name=hypothetical protein	5	3	3	1	6	3	8	0	1	12	14	9	2	2	5
ID=fig|671267.8.peg.316;Name=archaeal ATPase%2C fused to C-terminal DUF234 domain	5	4	6	4	4	8	4	2	2	30	29	10	6	0	2
ID=fig|671267.8.peg.317;Name=N-acetylglucosaminyltransferase (EC 2.4.1.-);Ontology_term=KEGG_ENZYME:2.4.1.-	12	10	0	2	25	6	12	0	2	14	10	12	4	4	6
ID=fig|671267.8.peg.318;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.319;Name=Diaminopimelate decarboxylase (EC 4.1.1.20);Ontology_term=KEGG_ENZYME:4.1.1.20	41	109	94	54	105	72	70	10	18	133	145	90	80	26	63
ID=fig|671267.8.peg.320;Name=Aspartokinase (EC 2.7.2.4);Ontology_term=KEGG_ENZYME:2.7.2.4	60	106	61	66	185	65	94	20	8	222	338	116	108	42	52
ID=fig|671267.8.peg.321;Name=Cell-division-associated%2C ABC-transporter-like signaling protein FtsE	10	48	28	22	46	41	25	6	7	78	103	60	18	29	38
ID=fig|671267.8.peg.322;Name=Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19) / Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31);Ontology_term=KEGG_ENZYME:3.5.4.19,KEGG_ENZYME:3.6.1.31	31	40	36	22	56	31	31	12	5	93	130	63	34	33	33
ID=fig|671267.8.peg.323;Name=hypothetical protein	1	2	3	2	4	1	2	0	2	6	11	2	5	2	2
ID=fig|671267.8.peg.324;Name=Imidazole glycerol phosphate synthase cyclase subunit HisF	14	34	32	18	33	11	22	6	4	49	56	46	12	9	10
ID=fig|671267.8.peg.325;Name=Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16);Ontology_term=KEGG_ENZYME:5.3.1.16	32	46	43	19	49	19	32	6	16	79	105	79	24	19	25
ID=fig|671267.8.peg.326;Name=Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-);Ontology_term=KEGG_ENZYME:2.4.2.-	80	65	76	25	52	50	18	12	20	68	69	67	30	54	35
ID=fig|671267.8.peg.327;Name=Formyltetrahydrofolate deformylase (EC 3.5.1.10);Ontology_term=KEGG_ENZYME:3.5.1.10	2	0	0	4	10	4	2	0	2	21	24	12	6	2	0
ID=fig|671267.8.peg.328;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.repeat.16;Name=repeat region	103	14	10	6	12	0	2	0	4	14	18	8	12	22	4
ID=fig|671267.8.peg.329;Name=Ser/Thr protein phosphatase family protein	38	18	20	13	33	6	19	0	8	56	85	42	23	13	18
ID=fig|671267.8.peg.330;Name=hypothetical protein	2	2	6	5	5	2	16	0	0	22	15	2	17	13	2
ID=fig|671267.8.peg.331;Name=hypothetical protein	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.332;Name=beta-galactosidase (EC 3.2.1.23);Ontology_term=KEGG_ENZYME:3.2.1.23	12	51	38	22	43	12	24	10	22	88	94	85	32	22	26
ID=fig|671267.8.repeat.17;Name=repeat region	18	24	10	4	6	4	4	4	2	23	14	11	16	10	10
ID=fig|671267.8.peg.333;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.repeat.18;Name=repeat region	0	3	6	0	1	4	0	2	1	2	2	0	0	0	2
ID=fig|671267.8.peg.334;Name=hypothetical protein	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ID=fig|671267.8.repeat.19;Name=repeat region	2	6	2	14	22	1	17	0	0	9	5	8	4	6	0
ID=fig|671267.8.repeat.20;Name=repeat region	114	4	9	25	77	3	30	4	0	19	72	12	13	17	2
ID=fig|671267.8.peg.335;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0
ID=fig|671267.8.peg.336;Name=V-type ATP synthase subunit E (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	182	98	80	64	72	55	62	14	5	232	208	156	120	82	37
ID=fig|671267.8.peg.337;Name=V-type ATP synthase subunit C (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	67	100	55	64	100	53	59	6	9	188	186	128	108	59	40
ID=fig|671267.8.peg.338;Name=V-type ATP synthase subunit A (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	161	236	176	99	185	104	158	22	24	391	365	357	181	187	67
ID=fig|671267.8.peg.339;Name=V-type ATP synthase subunit B (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	118	282	251	136	338	280	232	54	60	526	462	372	206	201	137
ID=fig|671267.8.peg.340;Name=V-type ATP synthase subunit D (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	37	81	57	48	55	41	47	25	4	145	241	140	72	43	34
ID=fig|671267.8.peg.341;Name=V-type ATP synthase subunit I (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	192	359	248	127	240	206	189	51	74	557	663	442	197	209	150
ID=fig|671267.8.peg.342;Name=V-type ATP synthase subunit K (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	38	193	176	50	94	120	87	22	28	269	322	234	136	114	93
ID=fig|671267.8.peg.343;Name=Glycogen [starch] synthase%2C eukaryotic (EC 2.4.1.11);Ontology_term=KEGG_ENZYME:2.4.1.11	30	18	14	34	109	10	91	2	6	43	105	40	27	16	8
ID=fig|671267.8.peg.344;Name=Glycogen phosphorylase (EC 2.4.1.1);Ontology_term=KEGG_ENZYME:2.4.1.1	136	94	66	158	461	60	173	10	44	205	441	126	107	94	44
ID=fig|671267.8.peg.345;Name=hypothetical protein	1	0	2	0	1	1	0	0	0	1	5	0	0	0	0
ID=fig|671267.8.peg.346;Name=Thiol:disulfide interchange protein	52	134	132	126	264	83	180	30	34	344	602	312	198	78	54
ID=fig|671267.8.peg.347;Name=Two-component system sensor histidine kinase	12	0	2	12	15	4	18	0	2	18	22	10	6	2	6
ID=fig|671267.8.peg.348;Name=Spermidine/putrescine import ABC transporter ATP-binding protein PotA (TC 3.A.1.11.1)	30	20	14	18	51	10	17	4	4	36	55	38	21	2	8
ID=fig|671267.8.peg.349;Name=Spermidine/putrescine import ABC transporter permease protein PotB (TC 3.A.1.11.1)	0	2	4	4	25	0	11	0	0	15	9	4	7	0	0
ID=fig|671267.8.peg.350;Name=Spermidine/putrescine import ABC transporter permease protein PotC (TC 3.A.1.11.1)	4	6	4	2	12	4	6	0	0	3	8	4	5	0	0
ID=fig|671267.8.peg.351;Name=Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1)	6	26	14	12	25	12	4	4	2	24	48	16	16	14	6
ID=fig|671267.8.peg.352;Name=Ribose-phosphate pyrophosphokinase (EC 2.7.6.1);Ontology_term=KEGG_ENZYME:2.7.6.1	46	48	38	42	138	32	48	2	4	119	184	121	104	32	22
ID=fig|671267.8.peg.353;Name=Thiazole tautomerase TenI (EC 5.3.99.10);Ontology_term=KEGG_ENZYME:5.3.99.10	28	44	42	33	45	20	22	12	2	84	83	76	27	16	12
ID=fig|671267.8.peg.354;Name=Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73);Ontology_term=KEGG_ENZYME:2.7.7.73	0	8	8	4	18	6	12	0	2	21	8	6	7	6	4
ID=fig|671267.8.peg.355;Name=2-iminoacetate synthase (ThiH) (EC 4.1.99.19);Ontology_term=KEGG_ENZYME:4.1.99.19	2	20	12	20	64	20	18	2	0	53	55	34	11	12	8
ID=fig|671267.8.peg.356;Name=Iron-sulfur flavoprotein	6	10	12	7	28	6	16	0	2	18	15	0	4	11	3
ID=fig|671267.8.peg.357;Name=hypothetical protein	2	18	10	14	26	22	8	0	0	33	29	5	6	9	3
ID=fig|671267.8.peg.358;Name=Phosphomethylpyrimidine synthase ThiC (EC 4.1.99.17);Ontology_term=KEGG_ENZYME:4.1.99.17	23	50	58	73	166	48	64	30	10	71	76	45	32	29	18
ID=fig|671267.8.peg.359;Name=Thiazole synthase (EC 2.8.1.10);Ontology_term=KEGG_ENZYME:2.8.1.10	8	17	19	18	83	25	35	8	0	30	27	18	2	17	3
ID=fig|671267.8.peg.360;Name=Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3);Ontology_term=KEGG_ENZYME:2.5.1.3	11	13	11	12	53	19	16	6	11	29	15	20	9	7	5
ID=fig|671267.8.peg.361;Name=Sulfur carrier protein ThiS	0	3	2	8	32	4	9	4	6	19	21	18	7	3	4
ID=fig|671267.8.peg.362;Name=hypothetical protein	6	7	4	6	20	0	4	4	1	16	23	14	8	2	6
ID=fig|671267.8.peg.363;Name=hypothetical protein	0	2	0	0	2	0	0	0	0	4	0	0	0	0	0
ID=fig|671267.8.peg.364;Name=Superoxide dismutase [Mn/Fe] (EC 1.15.1.1);Ontology_term=KEGG_ENZYME:1.15.1.1	209	280	435	664	705	634	786	568	438	268	879	392	242	352	321
ID=fig|671267.8.peg.365;Name=ATP-dependent DNA helicase UvrD/PcrA (EC 3.6.4.12);Ontology_term=KEGG_ENZYME:3.6.4.12	12	38	26	30	84	14	54	10	4	51	52	28	12	20	10
ID=fig|671267.8.peg.366;Name=Carboxynorspermidine decarboxylase (EC 4.1.1.96);Ontology_term=KEGG_ENZYME:4.1.1.96	6	15	0	12	28	4	18	0	4	22	28	6	16	8	2
ID=fig|671267.8.peg.367;Name=Glutamine synthetase type I (EC 6.3.1.2);Ontology_term=KEGG_ENZYME:6.3.1.2	66	296	300	144	172	168	116	36	26	490	420	360	226	146	138
ID=fig|671267.8.peg.368;Name=Carbon-nitrogen hydrolase	20	10	8	9	36	10	22	0	4	14	26	6	10	8	0
ID=fig|671267.8.peg.369;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
