PD_m1_0h	PD_m2_0h	PD_m3_0h	PD_m4_6h_flag	PD_m5_6h_flag	PD_m6_6h_flag	PD_m7_6h_aCD3	PD_m8_6h_aCD3	PD_m9_6h_aCD3	PD_m10_24h_flag	PD_m11_24h_flag	PD_m12_24h_flag	PD_m13_24h_aCD3	PD_m14_24h_aCD3	PD_m15_24h_aCD3
ID=fig|823.92.peg.171;Name=IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3);Ontology_term=KEGG_ENZYME:3.5.4.10,KEGG_ENZYME:2.1.2.3	51	107	117	102	204	116	197	98	66	187	233	144	173	92	35
ID=fig|823.92.peg.172;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID=fig|823.92.peg.173;Name=hypothetical protein	0	8	6	2	4	4	6	4	5	6	23	12	9	12	0
ID=fig|823.92.peg.174;Name=Protein of unknown function DUF86%2C BT0167 group	35	8	8	10	13	14	23	0	21	30	40	21	26	25	6
ID=fig|823.92.peg.175;Name=Nucleotidyl transferase possibly involved in threonylcarbamoyladenosine formation	25	6	8	14	13	13	17	14	11	18	10	47	30	38	20
ID=fig|823.92.peg.176;Name=FIG00897497: hypothetical protein	6	0	0	6	2	0	4	6	2	8	10	10	8	6	2
ID=fig|823.92.peg.177;Name=Bis-ABC ATPase YbiT	26	62	60	30	97	56	85	46	42	86	122	72	60	50	26
ID=fig|823.92.peg.178;Name=Putative sulfatase	4	4	15	4	26	0	14	2	2	10	32	0	14	2	4
ID=fig|823.92.peg.179;Name=Ribonuclease Y	143	240	258	134	282	222	239	100	136	362	427	512	257	201	124
ID=fig|823.92.peg.180;Name=Cell division ZapA family protein	128	67	48	33	45	45	58	28	41	112	105	168	97	89	54
ID=fig|823.92.peg.181;Name=FIG034863: hypothetical protein	87	65	94	70	107	76	139	62	79	151	164	279	104	102	82
ID=fig|823.92.peg.182;Name=FIG00898802: hypothetical protein	226	24	18	25	38	20	64	14	40	28	106	42	98	42	18
ID=fig|823.92.peg.183;Name=FIG00935912: hypothetical protein	0	1	2	3	6	0	4	0	4	5	20	2	4	2	4
ID=fig|823.92.peg.184;Name=FIG00003370: Multicopper polyphenol oxidase	16	12	12	6	27	14	32	14	7	32	34	22	12	12	8
ID=fig|823.92.peg.185;Name=GTP-binding protein Obg	50	106	79	58	155	62	126	52	59	165	262	128	132	37	34
ID=fig|823.92.peg.186;Name=Adenylate kinase (EC 2.7.4.3);Ontology_term=KEGG_ENZYME:2.7.4.3	33	28	25	18	41	16	52	12	28	58	96	70	56	15	6
ID=fig|823.92.peg.187;Name=Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8);Ontology_term=KEGG_ENZYME:2.4.2.8	10	9	8	0	13	10	24	2	2	12	32	12	22	6	0
ID=fig|823.92.peg.188;Name=NAD(P)H-hydrate epimerase (EC 5.1.99.6) / ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136);Ontology_term=KEGG_ENZYME:5.1.99.6,KEGG_ENZYME:4.2.1.136	110	130	146	74	140	110	172	100	83	154	116	130	148	113	60
ID=fig|823.92.peg.189;Name=hypothetical protein	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.190;Name=Putative secreted glycosyl hydrolase	10	10	17	18	27	27	49	30	18	21	16	55	8	11	4
ID=fig|823.92.peg.191;Name=Myo-inositol 2-dehydrogenase (EC 1.1.1.18);Ontology_term=KEGG_ENZYME:1.1.1.18	6	34	42	31	37	53	66	32	26	88	90	153	28	45	16
ID=fig|823.92.peg.192;Name=FIG00897598: hypothetical protein	9	41	35	16	14	40	31	12	16	105	55	98	24	32	20
ID=fig|823.92.peg.193;Name=RNA polymerase ECF-type sigma factor	13	7	0	0	4	0	4	0	2	5	2	12	2	6	2
ID=fig|823.92.peg.194;Name=Putative anti-sigma factor	8	10	0	2	0	0	10	2	6	8	3	4	0	6	2
ID=fig|823.92.peg.195;Name=RNA polymerase ECF-type sigma factor	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
ID=fig|823.92.peg.196;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	14	28	38	12	20	46	38	8	12	146	70	196	28	33	6
ID=fig|823.92.peg.197;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	8	30	38	14	22	56	42	18	8	92	38	174	16	33	8
ID=fig|823.92.peg.198;Name=hypothetical protein	0	0	4	2	0	0	0	0	2	6	4	8	0	0	0
ID=fig|823.92.peg.199;Name=FIG00936535: hypothetical protein	8	42	21	32	58	42	117	26	25	62	68	36	52	30	14
ID=fig|823.92.peg.200;Name=Di-tripeptide/cation symporter	27	112	121	72	125	90	149	48	78	190	175	148	163	64	53
ID=fig|823.92.peg.201;Name=FIG00897133: hypothetical protein	115	96	80	32	33	34	40	18	28	65	92	56	65	42	19
ID=fig|823.92.peg.202;Name=Biotin synthase (EC 2.8.1.6);Ontology_term=KEGG_ENZYME:2.8.1.6	2	2	0	0	0	0	2	0	4	8	2	2	2	2	2
ID=fig|823.92.peg.203;Name=Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62);Ontology_term=KEGG_ENZYME:2.6.1.62	0	2	8	6	0	2	4	6	4	7	2	12	2	12	0
ID=fig|823.92.peg.204;Name=8-amino-7-oxononanoate synthase (EC 2.3.1.47);Ontology_term=KEGG_ENZYME:2.3.1.47	0	4	0	0	4	2	0	4	0	9	0	8	2	10	0
ID=fig|823.92.peg.205;Name=Biotin synthesis protein BioG	0	2	0	0	0	0	2	0	2	4	0	2	0	2	0
ID=fig|823.92.peg.206;Name=Malonyl-[acyl-carrier protein] O-methyltransferase (EC 2.1.1.197);Ontology_term=KEGG_ENZYME:2.1.1.197	8	2	0	0	2	0	0	0	0	0	0	10	0	2	0
ID=fig|823.92.peg.207;Name=Dethiobiotin synthetase (EC 6.3.3.3);Ontology_term=KEGG_ENZYME:6.3.3.3	3	12	14	8	10	3	13	1	4	16	8	13	15	4	8
ID=fig|823.92.peg.208;Name=hypothetical protein	6	14	22	12	20	23	37	14	26	22	34	25	21	8	4
ID=fig|823.92.peg.209;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	6	14	15	58	291	64	348	72	25	54	72	90	18	20	6
ID=fig|823.92.peg.210;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	0	0	17	50	151	48	238	64	35	14	36	52	11	14	0
ID=fig|823.92.peg.211;Name=Inner membrane protein RclC associated with response to reactive chlorine species	4	6	2	4	6	6	8	4	6	10	8	28	12	3	0
ID=fig|823.92.peg.212;Name=Transcriptional regulator%2C AraC family	19	10	2	6	12	8	8	6	8	20	10	18	12	1	6
ID=fig|823.92.peg.213;Name=Thioredoxin	348	56	46	34	50	50	102	24	110	25	82	68	28	132	14
ID=fig|823.92.peg.214;Name=hypothetical protein	38	2	0	0	0	2	2	0	2	4	6	4	2	6	0
ID=fig|823.92.peg.215;Name=Integral membrane protein	0	4	2	0	2	4	6	3	2	8	2	5	0	0	0
ID=fig|823.92.peg.216;Name=FIG00896412: hypothetical protein	18	26	32	28	52	38	44	34	28	10	32	50	20	28	16
ID=fig|823.92.peg.217;Name=FIG00898713: hypothetical protein	2	2	8	2	10	6	8	5	9	4	5	9	0	0	2
ID=fig|823.92.peg.218;Name=FIG00898535: hypothetical protein	2	4	6	9	8	12	14	7	6	2	15	16	8	8	4
ID=fig|823.92.peg.219;Name=RNA polymerase ECF-type sigma factor	0	2	4	3	10	6	10	2	11	2	6	6	4	8	0
ID=fig|823.92.peg.220;Name=FIG00897229: hypothetical protein	10	1	2	10	2	0	11	2	4	8	13	16	4	6	0
ID=fig|823.92.peg.221;Name=Two-component transcriptional response regulator%2C LuxR family	6	3	10	2	7	6	7	4	4	8	16	18	10	10	0
ID=fig|823.92.peg.222;Name=Two-component system sensor histidine kinase	4	0	0	6	2	0	2	2	0	4	7	0	2	0	2
ID=fig|823.92.peg.223;Name=putative periplasmic protein	2	4	0	4	3	6	4	0	0	22	4	2	17	6	4
ID=fig|823.92.peg.224;Name=putative lipoprotein	53	78	66	79	76	60	88	30	50	229	56	89	127	44	74
ID=fig|823.92.peg.225;Name=FIG00896382: hypothetical protein	60	74	38	51	62	78	136	40	80	84	72	67	72	76	56
ID=fig|823.92.peg.226;Name=Putative permease	13	3	4	3	5	5	6	0	4	1	6	3	6	10	0
ID=fig|823.92.peg.227;Name=tRNA pseudouridine(38-40) synthase (EC 5.4.99.12);Ontology_term=KEGG_ENZYME:5.4.99.12	5	17	18	11	13	13	20	4	2	24	18	13	18	22	6
ID=fig|823.92.peg.228;Name=Predicted cobalt transporter in Bacteroides_Porphyromonas	8	24	14	20	26	12	22	8	12	30	37	34	34	24	4
ID=fig|823.92.peg.229;Name=alpha-L-arabinofuranosidase (EC 3.2.1.55);Ontology_term=KEGG_ENZYME:3.2.1.55	0	8	8	10	12	8	14	2	8	16	43	20	26	12	4
ID=fig|823.92.peg.230;Name=FIG00407350: hypothetical protein	2	2	0	0	4	0	1	0	0	0	3	0	2	0	0
ID=fig|823.92.peg.231;Name=DNA repair and recombination protein%2C putative helicase	4	21	4	25	46	26	73	12	30	38	41	42	14	12	12
ID=fig|823.92.peg.232;Name=Uncharacterized transporter YebQ%2C major facilitator superfamily (MFS)	14	18	11	13	36	25	32	12	8	10	33	5	21	14	2
ID=fig|823.92.peg.233;Name=FIG00896466: hypothetical protein	22	12	3	12	20	9	22	4	6	4	21	19	33	26	8
ID=fig|823.92.peg.234;Name=FIG00896979: hypothetical protein	16	60	38	24	84	52	42	34	32	71	76	81	60	40	34
ID=fig|823.92.peg.235;Name=Signal peptidase I (EC 3.4.21.89);Ontology_term=KEGG_ENZYME:3.4.21.89	0	4	5	0	3	6	0	2	3	22	8	42	6	6	6
ID=fig|823.92.peg.236;Name=hypothetical protein	0	0	9	2	1	0	0	0	6	19	11	24	4	1	2
ID=fig|823.92.peg.237;Name=hypothetical protein	8	41	59	16	14	24	8	8	10	104	85	121	35	34	16
ID=fig|823.92.peg.238;Name=hypothetical protein	2	16	11	4	4	0	4	2	4	33	36	60	21	11	12
ID=fig|823.92.peg.239;Name=hypothetical protein	27	42	45	7	16	15	16	10	12	70	58	170	29	30	12
ID=fig|823.92.peg.240;Name=hypothetical protein	28	97	93	39	41	54	38	28	41	206	158	318	71	105	56
ID=fig|823.92.peg.241;Name=hypothetical protein	27	48	30	10	11	12	8	7	17	166	183	258	45	71	39
ID=fig|823.92.peg.242;Name=hypothetical protein	90	120	122	60	67	55	67	62	81	373	441	627	60	178	70
ID=fig|823.92.peg.243;Name=hypothetical protein	34	123	187	45	66	64	51	79	70	464	472	942	104	222	121
ID=fig|823.92.peg.244;Name=Fructose-bisphosphate aldolase class II (EC 4.1.2.13);Ontology_term=KEGG_ENZYME:4.1.2.13	180	722	754	441	850	606	931	287	391	983	1659	1178	1104	485	244
ID=fig|823.92.peg.245;Name=LSU ribosomal protein L31p @ LSU ribosomal protein L31p%2C zinc-independent	199	85	48	50	82	42	72	8	16	79	164	68	162	82	38
ID=fig|823.92.peg.246;Name=MdsC protein	16	42	48	32	66	40	110	10	16	84	94	76	116	22	28
ID=fig|823.92.peg.247;Name=FIG00897876: hypothetical protein	4	4	14	2	14	2	8	2	9	2	12	10	8	4	6
ID=fig|823.92.peg.248;Name=Sensor histidine kinase	6	14	24	12	16	12	13	4	18	26	18	22	8	22	10
ID=fig|823.92.peg.249;Name=Two-component transcriptional response regulator%2C LuxR family	22	26	36	27	22	40	37	24	26	38	42	61	24	26	14
ID=fig|823.92.peg.250;Name=Outer membrane protein	0	6	2	0	2	2	2	2	6	7	4	15	4	6	0
ID=fig|823.92.peg.251;Name=Two-component system response regulator protein	8	8	8	4	4	0	4	0	0	3	2	14	6	2	2
ID=fig|823.92.peg.252;Name=putative two-component system sensor but no kinase domain	6	0	4	4	0	4	4	6	2	10	4	6	6	10	4
ID=fig|823.92.peg.253;Name=hypothetical protein	0	1	2	2	1	6	2	0	0	2	4	8	2	0	0
ID=fig|823.92.peg.254;Name=Diacylglycerol kinase (EC 2.7.1.107);Ontology_term=KEGG_ENZYME:2.7.1.107	0	1	0	6	3	4	4	0	0	0	4	0	4	0	0
ID=fig|823.92.peg.255;Name=Membrane-associated phospholipid phosphatase	20	36	22	24	20	25	18	12	6	25	24	14	24	20	8
ID=fig|823.92.peg.256;Name=ABC transporter%2C permease protein	5	4	4	0	4	5	8	0	12	12	26	57	0	16	2
ID=fig|823.92.peg.257;Name=Macrolide-specific ABC-type efflux carrier (TC 3.A.1.122.1)	0	6	0	0	2	0	6	6	12	12	22	35	2	4	0
ID=fig|823.92.peg.258;Name=ABC transporter%2C permease protein	0	10	20	4	6	6	36	32	32	18	46	137	8	52	4
ID=fig|823.92.peg.259;Name=Macrolide-specific ABC-type efflux carrier (TC 3.A.1.122.1)	16	22	22	0	10	12	12	16	40	38	24	136	4	108	4
ID=fig|823.92.peg.260;Name=ABC transporter permease	2	10	12	0	4	4	6	6	12	22	6	84	4	12	5
ID=fig|823.92.peg.261;Name=putative ABC transporter permease component	12	18	25	8	12	6	14	16	30	31	27	126	10	66	5
ID=fig|823.92.peg.262;Name=ABC-type antimicrobial peptide transport system%2C ATPase component	8	28	37	7	18	8	19	14	42	46	89	226	10	84	8
ID=fig|823.92.peg.263;Name=ABC transporter permease	6	24	30	2	18	8	18	32	54	24	56	155	0	40	2
ID=fig|823.92.peg.264;Name=Macrolide-specific ABC-type efflux carrier (TC 3.A.1.122.1)	12	10	20	0	4	10	12	12	38	22	28	93	0	44	0
ID=fig|823.92.peg.265;Name=ABC transporter permease	6	2	14	0	2	10	6	10	24	9	16	89	4	10	0
ID=fig|823.92.peg.266;Name=Macrolide-specific ABC-type efflux carrier (TC 3.A.1.122.1)	6	4	14	2	2	6	2	8	16	11	26	86	4	16	6
ID=fig|823.92.peg.267;Name=ABC transporter%2C permease protein	0	2	0	2	4	0	2	2	6	2	26	39	2	10	0
ID=fig|823.92.peg.268;Name=FIG00897529: hypothetical protein	150	147	81	136	134	109	188	68	210	152	134	206	215	129	96
ID=fig|823.92.peg.269;Name=hypothetical protein	61	301	179	299	353	329	589	228	524	286	278	300	340	198	197
ID=fig|823.92.peg.270;Name=FIG00898213: hypothetical protein	12	67	70	60	59	50	110	31	55	99	48	64	73	53	19
ID=fig|823.92.peg.271;Name=beta-galactosidase (EC 3.2.1.23);Ontology_term=KEGG_ENZYME:3.2.1.23	70	250	180	190	261	244	351	152	150	291	208	180	269	106	110
ID=fig|823.92.peg.272;Name=Anaerobic C4-dicarboxylate transporter	16	23	49	16	54	20	28	12	8	42	33	21	42	22	18
ID=fig|823.92.peg.273;Name=Thioredoxin	24	15	25	92	139	68	264	72	158	68	65	87	36	28	24
ID=fig|823.92.peg.274;Name=Threonine dehydratase%2C catabolic (EC 4.3.1.19) @ L-serine dehydratase%2C (PLP)-dependent (EC 4.3.1.17);Ontology_term=KEGG_ENZYME:4.3.1.19,KEGG_ENZYME:4.3.1.17	2	4	8	8	32	4	20	6	4	8	12	10	4	8	8
ID=fig|823.92.peg.275;Name=Transcriptional regulator%2C MarR family	2	0	4	4	0	0	4	2	4	8	3	2	4	2	0
ID=fig|823.92.peg.276;Name=membrane protein%2C putative	7	7	2	7	2	0	4	2	4	14	13	9	12	0	2
ID=fig|823.92.peg.277;Name=FIG00898111: hypothetical protein	11	13	12	13	34	26	22	20	29	12	32	47	14	28	16
ID=fig|823.92.peg.278;Name=hypothetical protein	2	8	2	4	16	4	6	0	7	8	10	14	6	6	4
ID=fig|823.92.peg.279;Name=O-acetyl-ADP-ribose deacetylase	17	30	28	30	39	24	49	22	11	50	40	21	47	10	25
ID=fig|823.92.peg.280;Name=FIG00937167: hypothetical protein	15	12	22	16	17	16	15	6	17	22	10	9	27	10	9
ID=fig|823.92.peg.281;Name=Phosphate starvation-inducible protein PhoH%2C predicted ATPase	10	14	18	18	26	14	29	14	8	36	48	12	34	26	6
ID=fig|823.92.peg.282;Name=Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6);Ontology_term=KEGG_ENZYME:6.3.2.6	30	63	80	57	116	58	84	20	36	96	159	126	80	43	22
ID=fig|823.92.peg.283;Name=Demethylmenaquinone methyltransferase (EC 2.1.1.163);Ontology_term=KEGG_ENZYME:2.1.1.163	9	25	24	22	36	14	35	2	2	41	25	27	38	10	10
ID=fig|823.92.peg.284;Name=Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25);Ontology_term=KEGG_ENZYME:1.1.1.25	8	16	13	10	24	8	22	6	12	29	32	29	28	5	12
ID=fig|823.92.peg.285;Name=Siderophore (Surfactin) biosynthesis regulatory protein	0	2	5	4	2	2	6	0	0	3	3	0	9	2	2
ID=fig|823.92.peg.286;Name=GldD	1	8	5	6	5	0	6	2	4	18	17	4	5	4	8
ID=fig|823.92.peg.287;Name=Hemolysins and related proteins containing CBS domains	10	20	23	20	61	19	54	18	11	51	47	37	38	18	14
ID=fig|823.92.peg.288;Name=Single-stranded DNA-binding protein	17	60	62	60	82	41	88	40	21	84	75	77	64	44	28
ID=fig|823.92.peg.289;Name=A/G-specific adenine glycosylase (EC 3.2.2.-);Ontology_term=KEGG_ENZYME:3.2.2.-	14	2	12	0	8	6	8	2	4	2	8	14	6	8	2
ID=fig|823.92.peg.290;Name=DNA-binding protein HU	147	27	11	29	57	27	80	4	42	61	139	43	97	53	32
ID=fig|823.92.peg.291;Name=hypothetical protein	59	7	5	18	23	5	14	2	10	13	46	22	20	16	3
ID=fig|823.92.peg.292;Name=Ribonuclease G	44	148	162	133	352	122	200	56	88	178	294	155	209	87	71
ID=fig|823.92.peg.293;Name=Chaperone protein DnaK	332	467	444	426	520	402	1202	532	404	810	1320	783	577	460	106
ID=fig|823.92.peg.294;Name=Two-component system sensor histidine kinase	2	0	2	6	4	2	6	0	4	0	8	0	3	2	0
ID=fig|823.92.peg.295;Name=Two-component system sensor histidine kinase	0	2	6	0	8	6	10	4	4	10	18	12	15	2	1
ID=fig|823.92.peg.296;Name=AmpG permease	66	84	123	46	66	80	89	72	70	123	136	201	68	93	48
ID=fig|823.92.peg.297;Name=Putative hydrolase	26	44	43	8	45	32	39	21	43	39	82	96	42	33	29
ID=fig|823.92.peg.298;Name=acyltransferase family protein	37	88	101	63	111	102	74	51	75	84	110	101	95	75	53
ID=fig|823.92.peg.299;Name=FIG00898516: hypothetical protein	23	44	43	45	40	56	68	38	62	66	98	113	63	33	19
ID=fig|823.92.peg.300;Name=Glycogen	36	83	76	64	140	76	90	28	26	104	125	107	82	55	22
ID=fig|823.92.peg.301;Name=Glycogen phosphorylase (EC 2.4.1.1);Ontology_term=KEGG_ENZYME:2.4.1.1	62	201	258	218	644	230	450	145	152	392	708	336	460	129	142
ID=fig|823.92.peg.302;Name=putative outer membrane protein precursor	20	26	28	14	34	16	36	32	36	38	106	36	50	22	22
ID=fig|823.92.peg.303;Name=Endo-1%2C4-beta-xylanase (EC 3.2.1.8);Ontology_term=KEGG_ENZYME:3.2.1.8	16	29	30	22	28	20	33	12	13	78	56	65	34	16	18
ID=fig|823.92.peg.304;Name=transcriptional regulator	6	13	16	2	10	2	8	2	13	36	30	21	12	6	2
ID=fig|823.92.peg.305;Name=FIG00898600: hypothetical protein	0	0	4	4	0	9	2	0	4	6	9	10	2	12	0
ID=fig|823.92.peg.306;Name=FIG00896380: hypothetical protein	20	18	38	28	29	25	46	22	12	34	43	36	10	32	6
ID=fig|823.92.peg.307;Name=Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23);Ontology_term=KEGG_ENZYME:3.2.2.23	12	6	26	8	18	24	22	12	12	26	28	32	20	12	8
ID=fig|823.92.peg.308;Name=hypothetical protein	2	2	0	0	0	0	0	2	0	0	1	0	0	0	0
ID=fig|823.92.peg.309;Name=Transcriptional regulator of various polyols utilization%2C AraC family	2	6	2	6	10	0	2	4	2	22	8	10	10	6	6
ID=fig|823.92.peg.310;Name=Nitroreductase	0	6	2	0	0	4	4	2	0	8	2	4	2	0	0
ID=fig|823.92.peg.311;Name=Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-);Ontology_term=KEGG_ENZYME:2.4.2.-	38	60	38	12	18	16	34	6	11	57	83	42	39	18	14
ID=fig|823.92.peg.312;Name=Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16);Ontology_term=KEGG_ENZYME:5.3.1.16	16	30	26	8	18	10	28	4	3	24	70	32	21	12	10
ID=fig|823.92.peg.313;Name=Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-);Ontology_term=KEGG_ENZYME:4.1.3.-	88	69	60	20	36	52	40	20	8	57	47	55	22	56	26
ID=fig|823.92.peg.314;Name=Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19) / Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31);Ontology_term=KEGG_ENZYME:3.5.4.19,KEGG_ENZYME:3.6.1.31	10	11	18	10	25	6	10	2	3	36	67	28	18	6	2
ID=fig|823.92.peg.315;Name=Cell-division-associated%2C ABC-transporter-like signaling protein FtsE	62	26	35	14	23	14	15	8	13	32	81	55	26	20	2
ID=fig|823.92.peg.316;Name=Aspartokinase (EC 2.7.2.4);Ontology_term=KEGG_ENZYME:2.7.2.4	68	67	99	56	132	48	109	22	42	167	304	162	140	38	30
ID=fig|823.92.peg.317;Name=Diaminopimelate decarboxylase (EC 4.1.1.20);Ontology_term=KEGG_ENZYME:4.1.1.20	57	59	46	22	76	22	63	30	20	67	112	44	50	16	20
ID=fig|823.92.peg.318;Name=hypothetical protein	5	6	10	4	8	0	11	4	6	15	28	10	6	0	0
ID=fig|823.92.peg.319;Name=Very-short-patch mismatch repair endonuclease (G-T specific)	2	10	6	2	10	2	6	4	8	5	8	4	10	2	2
ID=fig|823.92.peg.320;Name=ABC transporter%2C permease protein	17	14	17	14	28	22	15	2	10	41	36	26	36	24	10
ID=fig|823.92.peg.321;Name=Alanine transaminase (EC 2.6.1.2);Ontology_term=KEGG_ENZYME:2.6.1.2	135	168	146	93	186	100	162	79	70	252	243	154	200	124	47
ID=fig|823.92.peg.322;Name=related to competence proteins	44	50	68	48	82	40	80	41	32	96	101	114	83	52	21
ID=fig|823.92.peg.323;Name=hypothetical protein BH3604	4	4	8	2	30	2	27	0	2	6	22	4	13	10	2
ID=fig|823.92.peg.324;Name=FIG00897533: hypothetical protein	8	17	15	6	16	6	7	0	5	32	67	29	20	13	10
ID=fig|823.92.peg.325;Name=FIG00898971: hypothetical protein	10	3	3	2	6	4	7	2	11	20	29	42	14	25	8
ID=fig|823.92.peg.326;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.327;Name=FIG00896950: hypothetical protein	2	2	0	2	2	2	4	2	0	0	0	0	0	0	0
ID=fig|823.92.peg.328;Name=Major facilitator family transporter	4	0	21	2	8	6	4	14	4	14	12	16	9	2	2
ID=fig|823.92.peg.329;Name=Bis-ABC ATPase Uup	20	22	29	18	32	14	32	20	16	26	42	32	37	14	20
ID=fig|823.92.peg.330;Name=Uracil-DNA glycosylase%2C family 1 (EC 3.2.2.27);Ontology_term=KEGG_ENZYME:3.2.2.27	2	4	12	4	4	8	6	10	2	16	24	20	12	8	2
ID=fig|823.92.peg.331;Name=FIG00896946: hypothetical protein	11	29	16	16	22	16	27	8	16	28	44	45	13	18	12
ID=fig|823.92.peg.332;Name=DNA base-flipping protein	20	13	6	2	7	4	18	2	11	10	6	25	11	0	2
ID=fig|823.92.peg.333;Name=Putative exported protein precursor	13	30	22	10	17	22	17	8	15	24	26	24	12	14	6
ID=fig|823.92.peg.334;Name=4-carboxymuconolactone decarboxylase (EC 4.1.1.44);Ontology_term=KEGG_ENZYME:4.1.1.44	6	14	9	6	14	10	14	2	11	12	10	32	10	12	6
ID=fig|823.92.peg.335;Name=hypothetical protein	0	4	5	2	2	0	6	4	1	22	2	19	6	16	4
ID=fig|823.92.peg.336;Name=Transcriptional regulator%2C AraC family	18	8	10	4	12	0	8	2	4	6	16	13	14	0	8
ID=fig|823.92.peg.337;Name=FIG01220323: hypothetical protein	0	0	0	2	0	0	4	0	2	2	2	8	0	0	0
ID=fig|823.92.peg.338;Name=Oxidoreductase%2C aldo/keto reductase family	0	0	0	0	0	0	2	0	0	2	4	2	2	0	2
ID=fig|823.92.peg.339;Name=Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11) / Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12);Ontology_term=KEGG_ENZYME:1.8.4.11,KEGG_ENZYME:1.8.4.12	18	34	26	40	32	28	76	12	42	55	55	64	34	15	10
ID=fig|823.92.peg.340;Name=Transcriptional regulator%2C AraC family	6	0	8	14	6	8	20	4	2	11	14	14	14	9	2
ID=fig|823.92.peg.341;Name=putative general stress protein	6	19	10	4	10	8	6	0	11	17	32	20	18	12	12
ID=fig|823.92.peg.342;Name=Transcriptional regulator%2C AraC family	22	3	12	8	18	12	18	10	19	21	40	40	18	10	20
ID=fig|823.92.peg.343;Name=FIG00897193: hypothetical protein	26	12	18	15	20	14	20	5	13	22	24	18	21	14	6
ID=fig|823.92.peg.344;Name=FIG00897906: hypothetical protein	8	11	20	17	12	10	18	5	19	2	10	18	7	9	8
ID=fig|823.92.peg.345;Name=FIG00899059: hypothetical protein	40	27	24	36	54	24	71	22	26	68	52	72	18	38	10
ID=fig|823.92.peg.346;Name=sugar phosphate isomerase/epimerase	189	508	476	71	132	133	128	78	154	1823	1508	2156	647	391	158
ID=fig|823.92.peg.347;Name=probable NADH-dependent dehydrogenase	105	536	621	69	288	165	142	116	147	1872	1589	1829	732	473	164
ID=fig|823.92.peg.348;Name=FIG00897705: hypothetical protein	10	22	20	12	18	10	26	0	14	28	25	18	18	14	2
ID=fig|823.92.peg.349;Name=FIG00899400: hypothetical protein	10	24	16	14	22	14	36	4	8	18	36	18	16	12	4
ID=fig|823.92.peg.350;Name=Oxidoreductase%2C N-terminal precursor	78	100	104	65	105	68	136	63	54	144	190	280	105	82	54
ID=fig|823.92.peg.351;Name=Unknown conserved in Flavobacteria	152	494	494	276	355	428	421	226	300	741	573	751	429	331	214
ID=fig|823.92.peg.352;Name=Inactive (p)ppGpp 3'-pyrophosphohydrolase domain / GTP pyrophosphokinase (EC 2.7.6.5)%2C (p)ppGpp synthetase I;Ontology_term=KEGG_ENZYME:2.7.6.5	94	209	200	114	191	180	216	138	135	256	268	288	199	134	68
ID=fig|823.92.peg.353;Name=CCA tRNA nucleotidyltransferase (EC 2.7.7.72);Ontology_term=KEGG_ENZYME:2.7.7.72	36	49	62	34	97	24	60	34	21	66	80	40	87	46	32
ID=fig|823.92.peg.354;Name=FIG00898063: hypothetical protein	18	12	24	30	45	30	44	32	32	26	38	26	24	26	2
ID=fig|823.92.peg.355;Name=FIG00899319: hypothetical protein	513	974	1145	961	1506	1760	1902	900	1082	842	1547	1094	226	1104	106
ID=fig|823.92.peg.356;Name=FIG00897107: hypothetical protein	145	14	6	58	104	30	160	32	40	88	98	90	50	129	5
ID=fig|823.92.peg.357;Name=Small-conductance mechanosensitive channel	78	101	82	73	100	83	91	52	97	83	121	96	72	57	16
ID=fig|823.92.peg.358;Name=TPR-repeat-containing protein	16	22	24	26	38	36	46	12	28	14	21	18	24	15	4
ID=fig|823.92.peg.359;Name=3-isopropylmalate dehydrogenase (EC 1.1.1.85);Ontology_term=KEGG_ENZYME:1.1.1.85	44	82	132	30	82	68	77	58	55	171	167	120	31	51	14
